Suburb,Location,Address,Hours,Type
Mernda,Woodland Waters Reserve Mernda,"Woodland Waters Reserve, Waterview Drive","9.30-4.30, 7 days",Drive-through
Mornington,Peninsula Health - The Mornington Centre,"The Mornington Centre, 24 Separation Street",Saturday 19 September and Sunday 20 September (11am-4pm),Walk-in
Mount Buller,Mansfield District Hospital - Mt Buller,14 Chamois Road,9am - 11am,Walk-in
Newtown,ACL - Newtown (Geelong),241 Pakington St (corner of Pakington St and Aberdeen St),Monday to Friday 8am Ð 5pm,Drive-through
Niddrie,Niddrie Community Hub Ð cohealth,3/3-15 Matthews Ave,"9.30am - 4.30pm, Mon-Fri",Walk-in
Noble Park,Noble Park Skate Park Carpark,Memorial Drive Skate Park,Daily 9am - 4pm,Walk-in
Norlane,Barwon Health - North Geelong (Clinic and drive through clinic),Corner of Cox Road and Princes Highway,Clinic: Daily 8:30am-4pm Drive through: Daily 8am-5pm,Drive-through
Orbost,Orbost Regional Health - Drive Through,Orbost Medical Clinic 104 Boundary Rd Orbost 3888,9am-10am Monday-Friday (By appointment only please call 5154 6777),Drive-through
Pakenham,Pakenham - IYU Recreation Reserve,165 Henry Rd,Weekday: 09:00 - 16.00 Weekend: 09.00 - 16.00,Drive-through
Pascoe Vale,Oak Park Sports and Aquatic Centre,563a Pascoe Vale Rd,9.30am-4.30pm 7 days,Walk-in
Preston,Northland,2-50 Murray Rd,"9am - 5pm, 7 days",Drive-through
Robinvale,Robinvale District Health Service - Hospital Car Park,128-132 Latje Road,7 days - 07:00 - 19:00,Drive-through
Robinvale,Robinvale District Health Service - IGA Car Park,1 Latje Road,"Thursdays, Fridays 15:00 - 17:00",Walk-in
Roxburgh Park,Roxburgh Park Youth and Recreation Centre,75 Lakeside Drive,"9am - 5pm, 7 days",Drive-through
Sandringham,Sandringham Hospital,"Located in the rear of front carpark, 193 Bluff Rd","9am-5pm, 7 days",Walk-in
Seaford,Peninsula Health Drive Through Clinic - Frankston & District Basketball Association,"Frankston District Basketball Court, 90 Bardia Avenue Seaford",8:30pm Ð 4:00pm 7 days a week,Drive-through
Spotswood,4Cyte Pathology - Spotswood,615 Melbourne Road,Monday to Friday 8am Ð 5pm,Drive-through
Tarneit,Wootten Road Reserve Tarneit,"Wootten Road Reserve, 25/51 Wootten Rd","10am-6pm, Mon-Fri 10am-4pm, Sat-Sun",Drive-through
Taylors Lakes,Watergardens,145 - 399 Melton Hwy,"9am - 5pm, 7 days",Drive-through
Thomastown,First Peoples' Health and Wellbeing,317-319 High Street,Mon-Thu: 09.00 - 17.00 Friday: 09.00 - 13.00,Walk-in
Wangaratta,Northeast Health - Drive through,58 Docker Street,8:30am Ð 5:30pm 7 days per week,Drive-through
Wantirna South,Westfield Knox,425 Burwood Hwy,"9am - 5pm, 7 days",Drive-through
West Footscray,West Footscray Bunnings,Cnr Geelong Rd & Princes Hwy Service Rd Enter carpark via main entrance,"9am - 5pm, 7 days",Drive-through
West Heidelberg,Banyule Community Health Walk In,"Olympic Leisure Centre, 15 Alamein Rd","10am-4pm, Mon-Fri",Walk-in
Wonthaggi,"Bass Coast Health, Wonthaggi Hospital carpark",235 Graham St,"10am-4pm, 7 days",Drive-through
